Role,Industry,Skills,Specialisation,Job Function
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Financial Analyst, Finance Controller","Accounting-Tax/Consulting,  Banking","Team Management , Business Development Manager","Audit & Risk,Bookkeeping,Finance/Budgeting,Financial Analysis","Accounting/Tax/Company Secretary/Audit,Finance"
Fresher,Recruitment/Placement Agencies,"Human Resources , recruiter , hr recruiter , customer care executive","Corporate Planning/Strategy,Technical Sales","Corporate Planning/Consulting/Strategy,Sales/Business Development"
Accountant/ Accounts Executive,Financial Services/Stockbroking,"ADMINISTRATION , ENGLISH , COMMUNICATION",test,Accounting/Tax/Company Secretary/Audit
Customer Care Executive/ Associate - Voice,CRM/CallCentres/BPO/ITES/Med.Trans,Excellent Communication,Voice Process - International BPO Type,Operations/Customer Service/Telecalling/Backend
"ERP, CRM Developer, ERP, CRM Technical Consultant, ERP, CRM Support Engineer",IT-Software,"sap abap , sap , programmer , software developer , technical consultant",ERP/CRM,IT Software : Software Products & Services
"Software Developer/ Programmer, Software Quality Assurance Engineer, Software Testing Engineer/ Test Automation Engineer",IT-Software,"Software Testing , test engineer , Manual Testing , automation testing , Selenium , Webdriver , Testng","Application Programming,Quality Assurance/Testing,Software Engineer",IT Software : Software Products & Services
Other Call Centre/ Operations/ Customer Service,CRM/CallCentres/BPO/ITES/Med.Trans,Good in english,ITES Operations,Operations/Customer Service/Telecalling/Backend
"ERP, CRM Functional Consultant",IT-Software,"sap , Materials Planning , Production , mm , Stores Inventory , Logistics , Supply Chain , sales and marketing , distribution , sap SD , sap abap , sap abap consultant",ERP/CRM,IT Software : Software Products & Services
System Administrator,IT-Software,"Networking , Communication skills , Laptops , Ticketing Tools , Software installation , Hardware networking , Printer troubleshooting",Desktop Support,IT Software : Software Products & Services
"Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive",CRM/CallCentres/BPO/ITES/Med.Trans,"inbound calling , Outbound , Operations Customer Service","Any Process - Both BPO Type,Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
Relationship Manager,Banking,"Good Communication Skills , Leadership Quality , Quick Learner","Banking -General,Accounting/Financial Products","Banks/Insurance/Financial Services,Sales/Business Development"
Relationship Executive/ Manager,Banking,"Leadership Quality , Good communication skill , Marketing","Banking -General,Relationship Mgmt",Banks/Insurance/Financial Services
"Design Engineer - Civil/ Structural, Draftsman/ Draughtsman - Civil/ Structural, Quality Engineer - Civil/ Structural",Construction/Cement/Metal/Steel/Iron,"Civil , Construction , Project Management","Automotive,Aviation,Bridge,Building/Residential",Engg. project Mgmt./site Engg./Civil Engg.
"Design Engineer - Electrical, Design Engineer - Mechanical, Draftsman/ Draughtsman - Mechanical",Automobiles/Auto Component/Auto Ancillary,Mechanical Engineer,"Automotive,Production,Quality",Engg. project Mgmt./site Engg./Civil Engg.
"Draftsman/ Draughtsman - Electrical, Quality Engineer - Electrical",Automobiles/Auto Component/Auto Ancillary,"Electronics Engineer , Electrical Engineer",Electrical/Electronic,Engg. project Mgmt./site Engg./Civil Engg.
Pharmacist/ Chemist,Healthcare,"Pharmacist , Hospital Pharmacist",Pharmacy,Doctors/Nurses/Medical Professional
Lab/ Medical Technician,Healthcare,"Lab Assistant , Lab Technician",Lab/Medical Technician,Doctors/Nurses/Medical Professional
Nurse,Healthcare,"Nursing Staff , Nurse , Nursing",Nursing,Doctors/Nurses/Medical Professional
"Management Trainee/ Trainee, Intern, Fresher",IT-Software,"Software Engineer , associate software engineer , Software Testing",Software Engineer,IT Software : Software Products & Services
Software Developer/ Programmer,IT-Software,"Software Developer , php developer , web developer , ui developer",Systems Programming,IT Software : Software Products & Services
"Management Trainee/ Trainee, Intern, Fresher",IT-Software,DATA ANALYST,"Business/Systems Analysis,Quality Assurance/Testing",IT Software : Software Products & Services
"Relationship Manager, Sales/ Business Development Manager",Banking,"team  Leader , Good  Comminication","Banking -General,Accounting/Financial Products","Banks/Insurance/Financial Services,Sales/Business Development"
General Practitioner/ Physician,Healthcare,MD / DNB,General Practitioner,Doctors/Nurses/Medical Professional
"General Practitioner/ Physician, Gynaecologist, Paediatrician",Healthcare,"MD / DNB , MS / DNB","General Practitioner,Gynaecology,Surgery",Doctors/Nurses/Medical Professional
"General Practitioner/ Physician, Orthopaedician, Pulmonologist/ Pneumologist",Healthcare,"MD / DNB , MS / DNB","Critical Care,Dermatologist,Gynaecology",Doctors/Nurses/Medical Professional
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Technical Support Associate (Non Voice), Technical Support - Asst. Team Lead/ Mentor (Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Bpo , Customer Service , customer service executive , customer care executive , cce , sales executive , KPO , Tech support , technical support executive , executive","Any Process - Domestic BPO Type,Any Process - International BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Technical Support Associate (Non Voice), Technical Support - Asst. Team Lead/ Mentor (Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"Call center , Customer Service , customer service executive , customer care executive , tech support , technical support executive , executive , cce , bpo , kpo , Customer Care","Any Process - Domestic BPO Type,Any Process - International BPO Type,Technical Process,Technical/Process Training",Operations/Customer Service/Telecalling/Backend
"Sales Executive/ Officer, Sales/ Business Development Manager, Other Sales/ Business Development",Educational/Training,"Sales , inside sales , cold calling , Business Development , business development executive , lead generation","Client Servicing,Direct/Commission Sales,Institutional Sales,Education Sales",Sales/Business Development
"Export/ Import - Agent, Trader, Fresher, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , 10th below , work from home","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
"Intern, Fresher","Educational/Training,  IT-Software","Fresher , Online Data Entry , Data Entry Operator , Data Base Administrator , Data Entry Officer , Form Filling , Computer Operator , Data Entry Executive , DEO , Data Entry","Customer Support,Technical Writing,Training,Freshers can also Apply","IT Hardware : Hardware Products & Services,IT Software : Software Products & Services"
Teacher - Others,"IT-Hardware/Networking,  IT-Software","Fresher Computer Faculty ,  E-Commerce ,  SEO Trainer","Teacher,Application Programming,Internet/E-commerce,Training","Teaching/Education,IT Software : Software Products & Services"
"Software Developer/ Programmer, Web Designer, Other IT Software - Others, Fresher",IT-Software,"Android Sdk , Android , java , ios , core java , Advanced Java J2EE","Application Programming,Internet/E-commerce,Mobile,Software Engineer",IT Software : Software Products & Services
"Software Developer/ Programmer, Web Designer, Other IT Software - Others, Fresher",IT-Software,"test eng , manual testing , Automated Test Tools , Automated Testing","Application Programming,Internet/E-commerce,Mobile,Software Engineer",IT Software : Software Products & Services
"Software Developer/ Programmer, Web Designer, Other IT Software - Others, Fresher",IT-Software,"ASP .net c# , ASP .net Web Development , ASP Programming , ASP JScript , ASP Scripting , Asp.net","Application Programming,Internet/E-commerce,Mobile,Software Engineer",IT Software : Software Products & Services
"Intern, Fresher, Intern, Fresher","Educational/Training,  IT-Software","Fresher , Online Data Entry , Data Entry Operator , Data Base Administrator , Data Entry Officer , Form Filling , Computer Operator , Data Entry Executive , DEO , Data Entry","Freshers can also Apply,Business/Systems Analysis,Mobile,Freshers can also Apply","IT Hardware : Hardware Products & Services,IT Software : Software Products & Services"
"Other Education/ Teaching, Intern, Fresher, Fresher",IT-Software,"Fresher , Online Data Entry , Data Entry Operator , Data Base Administrator , Data Entry Officer , Form Filling , Computer Operator , Data Entry Executive , DEO , Data Entry","Transcription,Freshers can also Apply,Internet/E-commerce,Freshers can also Apply","Teaching/Education,IT Software : Software Products & Services"
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Team Lead",CRM/CallCentres/BPO/ITES/Med.Trans,"Back Office Operations , Back Office Support , Customer Interaction , bpo , Kpo , Call Center , Customer Service , BPO Executive ,  BPO Analyst ,  BPO Trainee","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Any Process - International BPO Type,Non Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
"Software Developer/ Programmer, Web Designer, Other IT Software - Others, Fresher",IT-Software,"Web Designer Web Developers ,  PHP developer  , PHP Developing , Mysql , Javascript , Php , Html , css , Html5 , Jquery","Application Programming,Internet/E-commerce,Mobile,Software Engineer",IT Software : Software Products & Services
"Hardware Design Engineer, System Administrator, System Engineer, System Security Engineer","IT-Hardware/Networking,  IT-Software","mcse , ccna , mcsa , Mcp , Dhcp , Wins , Terminal Services , Windows 2003 , NT Administration , n+ , Rhce , A+","Customer Support,Embedded Technology,Client Server,Configuration/Release Mgmt","IT Hardware : Hardware Products & Services,IT Software : Software Products & Services"
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Accounts Assistant/ Book Keeper, Accounts Manager","Accounting-Tax/Consulting,  Financial Services/Stockbroking","Accounts  and Finance Executive ,  Accounts  and Finance Manager , Banking , Finance , Business Management , GST","Audit & Risk,Bookkeeping,Chartered Accountant/CPA,Taxation",Accounting/Tax/Company Secretary/Audit
"Design Engineer - Electrical, Design Engineer - Mechanical, Project Leader/ Project Manager, Service/ Maintenance Engineer/ Manager","Automobiles/Auto Component/Auto Ancillary,  Construction/Cement/Metal/Steel/Iron","Sheet Metal , 3d Modeling , Solid Modeling , Assembling , Metal Fabrication , Piping , Assembly , Assembly Language","Automotive,Design Engineering,Engineering,Equipment","Engg. project Mgmt./site Engg./Civil Engg.,Production/Manufacturing/Maintenance/Packaging"
"HR Consultant, HR Executive/ Officer, HR Generalist, HR Manager","IT-Hardware/Networking,  IT-Software","HR Manager ,  HR Recruiter ,  Recruitment Executive ,  HR Trainee , Human Resourcs , Recruitment , hr executive , human resource , assistant hr","Admin/Facilities Mgmt,Employee Relations,Recruitment,Others",HR/PM/IR/Training
"Configuration/ Release Manager, Database Administrator (DBA), Database Architect/ Designer, Project Leader/ Project Manager",IT-Software,"Oracle Apps Dba , Oracle Apps , Oracle Reports , Oracle Workflow , Database Administrator ,  Oracle Database Administrator ,  DBA , Sql","Data Warehousing,Database Administration (DBA)",IT Software : Software Products & Services
"Management Trainee/ Trainee, Fresher, Fresher, Fresher","Banking,  IT-Software","sales executive , area sales manager , marketing manager , marketing head , Marketing Executive , Business Development","Freshers,Business/Systems Analysis","Finance,IT Software : Software Products & Services"
"Administration Clerk, Administration Assistant/ Executive, Administration Manager, Management Trainee/ Trainee","Logistics/Freight Forward/Distribution/Courier,  Manufacturing/Industrial","Supervisor ,  Administration Manager ,  Office Manage , Site Supervision , site supervisor , admin maneger , manager , assistant manager , assistant manager operations","Administration,Fresher,Factory Head,Plant Maintenance","Administration,Production/Manufacturing/Maintenance/Packaging"
"Commercial Engineer, Factory Engineer, Quality Assurance/ Control - Executive, Quality Assurance/ Control - Manager","Engineering/Projects,  Petroleum/Oil and Gas/Power","graduate ,  electrical engineering ,  thermal engineering ,  diploma ,  iti","Engineering,Industrial Engineering,Production/Manufacturing/Maintenance,Quality Control","Production/Manufacturing/Maintenance/Packaging,Quality/Process Control"
"Commercial Engineer, Factory Engineer, Factory Manager/ Plant Head, Industrial Engineer",Construction/Cement/Metal/Steel/Iron,"Construction Civil Engineering , Civil Engineer , site engineer , site coordinator , site consultant , site supervisor","Business Process Reengineering,Engineering,Environment,Equipment","Corporate Planning/Consulting/Strategy,Production/Manufacturing/Maintenance/Packaging"
"Architect, Draftsman/ Draughtsman, Industrial Architect, Interior Designer","Architecture/Interior Design,  Real Estate","Architectural Design , Architectural Drafting , Architectural engineer , Architect Architect Designer ,  Architect Consultant ,  Architect Consultant","Architecture,Interior Designer,Freshe,Freshe","Architects/Interior Design/Naval Arch,Corporate Planning/Consulting/Strategy"
"Product Manager, Program Manager, Project Leader/ Project Manager, Fresher",IT-Software,"SAP ,  SAP Manager ,  SAP Consultant ,  SAP Abap ,  SAP Basis , SAP CRM , Sap Crm Sales , Sap Crm Marketing , Erp , Sap",ERP/CRM,IT Software : Software Products & Services
"Product Manager, Project Leader/ Project Manager, R&D Manager, Fresher",Engineering/Projects,"Production Supervisor ,  Production Manager  , Production Executive , production officer , production incharge , production engineer","Engineering,Product Development,Production Management,Production/Manufacturing/Maintenance",Production/Manufacturing/Maintenance/Packaging
"Application Designer, Project Leader/ Project Manager, Fresher, Project Leader/ Project Manager",IT-Software,"Mainframe Developer , Mainframe Programmer , Cobol , Cics , Mvs , Db2 , Mainframe - zOS System Programmer , Ibm Mainframe , Mainframes","Application Programming,Mainframe",IT Software : Software Products & Services
"Factory Manager/ Plant Head, Materials/ Inventory Control - Manager/ Head, Quality Assurance/ Control - Executive, Quality Assurance/ Control - Manager",Printing/Packaging,"Quality Manager , manager , Quality Analysis , Quality Monitoring , Quality Audit","Packaging,QA/QC,Quality Assurance,Quality Control","Production/Manufacturing/Maintenance/Packaging,Quality/Process Control"
"Team Lead/ Tech Lead, Business Analyst, Database Analyst/ Programmer, Other IT Software - DataBase, Datawarehousing",IT-Software,"Data Analyst ,   Senior Data Analyst ,   Data Analyst - Tech Lead , data profiling , data models , data collection","Data Warehousing,Database Administration (DBA)",IT Software : Software Products & Services
"AutoCAD Designer, AutoCAD Designer (Structural), Draftsman/ Draughtsman","Architecture/Interior Design,  Construction/Cement/Metal/Steel/Iron","Autocad Draughtsman Mechanical ,  Auto Cad Designer , auto cad designer , drafting , autocad mechanical , pro e designer","fresher,Design Engineering,Engineering","Architects/Interior Design/Naval Arch,Production/Manufacturing/Maintenance/Packaging"
Industrial Engineer,Telecom,"Electronics Engineer , Electronics Communication Engineer , industrial electronics , power electronics",Engineering,Production/Manufacturing/Maintenance/Packaging
"Merchandiser, Visual Merchandiser, Sales Executive/ Officer, Sales Executive/ Officer","Apparel/Garments,  Retailing","Merchandising , Retail , Sales , sales executive , sales manager , channel sales manager","Product /Brand Management,Channel Sales,Corporate Sales,Counter Sales","Marketing/MR/Media Planning,Sales/Business Development"
"Architect, AutoCAD Designer, Industrial Designer, Interior Designer",Architecture/Interior Design,"Photoshop , Flash , Dreamweaver , Illustrator , Indesign , Corel Draw","Architecture,Interior Designer,Marine Engineering,Other",Architects/Interior Design/Naval Arch
"Administration Clerk, Administration Assistant/ Executive, Administration Manager, Facility Management - Executive",Manufacturing/Industrial,"Excellent organizational and leadership skills , Communication , motivation , Leadership , Interpersonal , Analytical , Presentation","Administration,Event Planning,Facilities management,Office Management & Coordination",Administration
"Software Developer/ Programmer, Fresher",IT-Software,"programmer ,  software engineer ,  Java ,  J2ee , Jsp , Servlet","Application Programming,Internet/E-commerce,Software Engineer",IT Software : Software Products & Services
"Hardware Design Engineer, Project Leader/ Project Manager, System Administrator, System Engineer",IT-Hardware/Networking,"Senior IT Administrator ,  Network Services ,  Network Administration ,  Cisco ,  facilities datacenter management ,  CCNA ,  CCNP ,  CCIE.","Customer Support,H/W Installation/Maintenance,Network Planning,Switching/Router",IT Hardware : Hardware Products & Services
"Team Lead/ Tech Lead, Fresher, Performance Test Engineer",IT-Software,Software Testing,Quality Assurance/Testing,IT Software : Software Products & Services
"Web Designer, Application Designer, Flash Animator/ Scripting, GUI/ Web Developer",IT-Software,"Html5 , Css3 , Jquery , Javascript , Mysql , Html , Css , Photoshop , Corel Draw , Pagemaker , Adobe Pagemaker , Macromedia Flash","Graphic Designing/Animation/Web Designing,Internet/E-commerce",IT Software : Software Products & Services
"Project Leader/ Project Manager, Database Administrator (DBA)","IT-Hardware/Networking,  IT-Software","SQL ,  Shell scripts ,  Unix commands ,  MySQL ,  Oracle","Security,Data Warehousing,Database Administration (DBA)","IT Hardware : Hardware Products & Services,IT Software : Software Products & Services"
"Team Lead/ Tech Lead, Fresher, Performance Test Engineer",CRM/CallCentres/BPO/ITES/Med.Trans,"Calling ,  customer service ,  voice ,  support , Customer Service Management","Voice Process - Both BPO Type,Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Other IT Software - Others, Fresher",Internet/Dot com/ISP,"computer basic , Internet , Data Entry , data entry operator , computer assistant , computer operator , operator",Internet/E-commerce,IT Software : Software Products & Services
"Accountant/ Accounts Executive, Accounts Manager",Accounting-Tax/Consulting,"tally , Ms Office , Accounts , Cash Book , Bank Book , Accounting , Tax , Bank , Audit , Internal Audit","Audit & Risk,Bookkeeping,Chartered Accountant/CPA,Taxation",Accounting/Tax/Company Secretary/Audit
"Employee Relations - Manager/ Head, HR Consultant, HR Executive/ Officer, HR Manager",IT-Software,"Talent Acquisition , Talent Management , Recruitment , IT recruiter , hr executive , hr recruiter , technical recruiter","Admin/Facilities Mgmt,Employee Relations,Recruitment,Training & Development",HR/PM/IR/Training
"Database Architect/ Designer, Team Lead/ Tech Lead, Other IT Software - Others",IT-Software,"Data Analyst ,  Senior Data Analyst ,  Data Analyst - Tech Lead , data profiling , data models , data collection","Business/Systems Analysis,Data Warehousing",IT Software : Software Products & Services
"Product Manager, Other IT Software - Others, Fresher",IT-Software,"SAP ,  SAP Manager ,  SAP Consultant ,  SAP Abap ,  SAP Basis , SAP CRM , Sap Crm Sales , Sap Crm Marketing , Erp , Sap , Abap","Business/Systems Analysis,Project Leader/ Project Manager",IT Software : Software Products & Services
"Design Engineer - Civil/ Structural, Design Engineer - Mechanical, Fresher","Automobiles/Auto Component/Auto Ancillary,  Construction/Cement/Metal/Steel/Iron","Sheet Metal , 3d Modeling , Solid Modeling , Assembling , Metal Fabrication , Piping , Assembly , Assembly Language , Cam , Cad , Auto-cad","Automotive,CAD/CAE,Design,Design Engineering","Engg. project Mgmt./site Engg./Civil Engg.,Production/Manufacturing/Maintenance/Packaging"
"Product Manager, Project Leader/ Project Manager, R&D Manager, Fresher",Engineering/Projects,"Production Supervisor ,  Production Manager  , Production Executive , production officer , production incharge , production engineer","Engineering,Plant Maintenance,Product Development,Production/Manufacturing/Maintenance",Production/Manufacturing/Maintenance/Packaging
"Design Engineer - Electrical, Quality Engineer - Electrical, Site/ Field Engineer - Electrical, Fresher",Engineering/Projects,"Electronic Systems ,  Electronics Troubleshooting ,  Electronic Testing Design ,  Project Management ,  Quality Focus ,  Database Design ,  Analyzing Information","Automotive,Building/Residential,Civil,Electrical/Electronic",Engg. project Mgmt./site Engg./Civil Engg.
"Quality Assurance/ Control - Executive, Quality Assurance/ Control - Manager","Automobiles/Auto Component/Auto Ancillary,  Printing/Packaging","Quality Manager , manager , Quality Analysis , Quality Monitoring , Quality Audit , Excellent data analyzing and review skills","Quality Assurance,Quality Control,Total Quality Management",Quality/Process Control
"Lab/ Medical Technician, Medical Officer, Fresher","Biotechnology/Pharmaceutical/Medicine,  Healthcare","Medical Lab Technician , Lab Technician , laboratory technician","Lab Staff,Medical Representative,Lab/Medical Technician","Bio Tech/R&D/Scientist,Doctors/Nurses/Medical Professional"
"Restaurant Manager, Housekeeping - Executive/ Assisstant, Front Office/ Customer Relations - Manager, Guest Relations Officer",Hotel/Travel/Tourism/Airlines/Hospitality,"Front Desk , front desk executive , Receptionist , front office executive , Verbal Communication , Customer Focus , Office-mgmt","Front Desk,Ground Staff,Travel Desk,Ground Staff","Hotel/Restaurant,Ticketing/Reservation/Travel Agent/Airlines"
"Team Lead/ Tech Lead, Fresher, Performance Test Engineer",IT-Software,"Software Testing , software test engineer , test engineer , software tester , qa engineer , qa lead , test lead , test analyst",Quality Assurance/Testing,IT Software : Software Products & Services
"Pharmacist/ Chemist, Other Medical Support, Medical Officer, Fresher","Biotechnology/Pharmaceutical/Medicine,  Healthcare","Medical Representative , Pharmaceutical Marketing , Medicine , Pharmaceutical , Medical , nursing , Healthcare","Admin Services/Medical Facilities,Medical Officer",Doctors/Nurses/Medical Professional
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice",CRM/CallCentres/BPO/ITES/Med.Trans,"Bpo , Customer Care , international voice , International Bpo , Voice Process , Voice Support , Customer service , Technical support , Technical Troubleshooting","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Any Process - International BPO Type,Non-Voice Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
"Teacher - PRT (Provisionally Registered Teacher), Teacher - TGT (Trained Graduate Teacher), Teacher - PGT (Post Graduate Teacher), Teacher - Art/ Crafts/ Painting",Educational/Training,"tEACHER , primary teacher , Classroom Teacher",Teacher,Teaching/Education
Software Testing Manager,IT-Software,"HTML Java , css , PHP MySQL , Database , Html , Mysql",Quality Control,Quality/Process Control
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Other Customer Service",CRM/CallCentres/BPO/ITES/Med.Trans,"Online reputation man , orm , social media , reputation manage , social media management , orm executive , social media associate , Swiggy , Ample tech , Globiva , Zomato","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Any Process - International BPO Type,Non-Voice Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice",Healthcare,"ar , Accounts Receivable","Any Process - Both BPO Type,Voice Process - Both BPO Type",Operations/Customer Service/Telecalling/Backend
Fresher,Construction/Cement/Metal/Steel/Iron,"Civil Engineering , site engineer , site supervisor , project engineer","site supervisor,Civil","Administration,Engg. project Mgmt./site Engg./Civil Engg."
Administration Clerk,Consulting Services,Urgent Vacancy Part Time Internet Home Based Jobs,Administration,Administration
Administration Clerk,Consulting Services,Work Part Time @home Based Weekly Earning,Administration,Administration
Administration Clerk,Consulting Services,Huge Opening for all Job Seekers  Home based Project,Administration,Administration
Administration Clerk,Consulting Services,Required 90 urgently MF Candidate  / work from home,Administration,Administration
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Technical Support - Asst. Team Lead/ Mentor (Voice), Technical Support - Asst. Team Lead/ Mentor (Non Voice)",CRM/CallCentres/BPO/ITES/Med.Trans,"Customer , Executive , call center , Customer Care , customer care executive , cce , tech sales , Telecalling , Customer Service , customer service executive , sales executive","Blended Process - Both BPO Type,Blended Process - Domestic BPO Type,Non Voice Process - Both BPO Type,Non-Voice Process - Domestic BPO Type",Operations/Customer Service/Telecalling/Backend
"Customer Care Executive/ Associate - Non Voice/ Web, Customer Care Executive/ Associate - Voice, Telecalling/ Telemarketing/ Telesales - Executive, Telecalling/ Telemarketing/ Telesales - Team Lead/ Manager",CRM/CallCentres/BPO/ITES/Med.Trans,"call center , Customer Service , customer service executive , customer care executive , cce , Telecalling , Voice , Voice Mail , kpo , bpo , Executive , tech sales , tech support","Any Process - Both BPO Type,Any Process - Domestic BPO Type,Blended Process - Domestic BPO Type,Blended Process - International BPO Type",Operations/Customer Service/Telecalling/Backend
"Trader, Fresher, Courier/ Transit Centre - Executive/ Manager, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , work from home","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
Other Packaging,Printing/Packaging,"Good Packing , Work From Home",Packaging,Production/Manufacturing/Maintenance/Packaging
"Export/ Import - Agent, Fresher, Courier/ Transit Centre - Executive/ Manager, Fresher","Agriculture/Forestry/Fishing,  Export/Import/Merchandising","good packing , 10th , work from home","Agent,Couriers,Packaging,Warehouse","Export/Import,Materials/Logistics/Supply Chain Mgmt/Procurement"
"Payroll - Executive/ Officer, Employee Relations - Manager/ Head, HR Executive/ Officer, HR Generalist",CRM/CallCentres/BPO/ITES/Med.Trans,"Hr Executive , Hr Admin , hr manager , Selection , Recruitment , IT recruiter , Hiring , Screening , HR Payroll , Hr Generalist , Performance , HR Operations , Talent Management , Hr","Administration,Compensation/Payroll,Recruitment,Training & Development","Administration,HR/PM/IR/Training"
"Software Testing Engineer/ Test Automation Engineer, Software Testing Manager",IT-Software,"Automation , Functional Testing , Smoke Testing , Regression Testing , Test Plan , Qa , Quality Assurance , test engineer , software tester , qa tester , manual testing , Selenium","Embedded Technologies,Quality Assurance/Testing,Software Engineer",IT Software : Software Products & Services
"Biotechnology - Research Associate, Clinical Research/ Clinical Trials - Associate, Microbiologist, Research Scientist","Biotechnology/Pharmaceutical/Medicine,  Healthcare","GMP , Sop , Pharmacovigilance , Clinical Research , Ich , Fda , Clinical Trial , Case Report , Clinical Study , Pharma , Biotechnology , Microbiology , Dna , Biochemistry , Bioinformatics","Clinical Research,Pharmacist/Chemist/Bio Chemist",Bio Tech/R&D/Scientist
"Clinical Data Manager, Data Management/ Statistics, Clinical Research/ Clinical Trials - Associate",Healthcare,"GMP , Sop , Pharmacovigilance , Clinical Research , Ich , Fda , Clinical Trial , Case Report , Clinical Study , Pharma , Microbiology , sas , clinical sas programming , crf , internship","Clinical Research,Data Management/ Statistics,Documentation/ Medical Writing",Bio Tech/R&D/Scientist
"Clinical Research/ Clinical Trials - Associate, Research Scientist","Biotechnology/Pharmaceutical/Medicine,  Healthcare","Regulatory Affairs , Drug Regulatory , Ich , Fda , Documentation , GMP , USFDA , ISO 20000 , CRO , ISMS , MFC , Process validation , API , ISO , Pharma , Technical Documentation , Drug","Clinical Research,Documentation/ Medical Writing,Drug Regulation",Bio Tech/R&D/Scientist
"Software Developer/ Programmer, Tech Architect, Usability Engineer, User Interface Designer",IT-Software,"Computer Science , Nunit , Jquery , Javascript , Coding , Debugging , Agile , Unit Testing , Integration Testing , c ++ , Angular , Node.js , UML , Frontend , MVC , OOAD , System Architecture","Software Engineer,System Analyst/Tech Architect",IT Software : Software Products & Services
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Accounts Manager, Chartered Accountant","Accounting-Tax/Consulting,  Financial Services/Stockbroking","Accounts , Balance Sheet , Cash , Tally , Taxation , Tds , Gst , Bank Reconciliation , Excel , Filing , Journal Entry , Tally Erp , Ms Excel , Banking , Audit , Sap , Finance","Audit & Risk,Bookkeeping,Chartered Accountant/CPA,Taxation",Accounting/Tax/Company Secretary/Audit
"Database Administrator (DBA), Database Architect/ Designer",IT-Software,"SQL , Python , Excel , Power BI , Tableau , Data Analytics , Business Intelligence , Data Analysis , Hadoop , Big Data , Machine Learning , Advanced Excel , Sap , Data Cleaning","Business/Systems Analysis,Data Warehousing,Database Administration (DBA)",IT Software : Software Products & Services
"Configuration/ Release Manager, Database Architect/ Designer, Information Systems (MIS) - Manager, Tech Architect",IT-Software,"Power BI , BI Development , SQL Scripting , Dashboarding , SQL , Spss , GUI , RDMS , Oracle , T-SQL , Ssis , SQL Query , ETL Tool , Informatica , Salesforce , Statistics , OLAP , BI Developer","Business/Systems Analysis,Software Engineer,System Analyst/Tech Architect",IT Software : Software Products & Services
"Accountant/ Accounts Executive, Accounting/ Auditing Clerk, Accounts Manager, Chartered Accountant","Banking,  Financial Services/Stockbroking","Budget , Finance , Cash Flow , Variance Analysis , Financial Reporting , Mis Reports , Forecasting , Cash Management , Reconciliation , Financial Analysis , Budgeting , Equity","Credit Control & Collections,Finance/Budgeting,Financial Analysis,Funds Management",Finance
"Software Developer/ Programmer, Tech Architect, Other IT Software - Others",IT-Software,"Azure , Cloud Computing , c ++ , Terraform , Ansible , Devops , Amazon Aws , Redhat / linux , Vmware , Virtualization , Aws , Asnt , IAM , LDAP , GCP , Powershell , Cloud Engineer , Coding , ARM",Cloud Engineer,IT Software : Software Products & Services
Paediatrician,Healthcare,"Pediatrics , MD Pediatrics , DNB Pediatrics , Senior Resident , Senior Resident Pediatrician",Pediatrics,Doctors/Nurses/Medical Professional
Courier/ Transit Centre - Executive/ Manager,Logistics/Freight Forward/Distribution/Courier,"Packing Materials , Raw Materials , Finished Goods , Good Communication , Time Management",Couriers,Materials/Logistics/Supply Chain Mgmt/Procurement
Pathologist/ Hematologist,Healthcare,"Pathology , MD Pathology , DNB Pathology , Senior Resident Pathology , Pathologist",Pathology,Doctors/Nurses/Medical Professional
