Role,Industry,Skills,Specialisation,Job Function
"Administration Assistant/ Executive, Computer Operator/ Data Entry Operator, Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data Entry  , computer operator , data entry operator","Administration,Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type","Administration,Operations/Customer Service/Telecalling/Backend"
"Administration Assistant/ Executive, Computer Operator/ Data Entry Operator, Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data Entry Operator , Data Entry , Computer Data Entry , Computer Operator , Data Entry / computer Operator , Work From Home , Work From Home Data Entry , Online Data Entry , BPO","Administration,Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type","Administration,Operations/Customer Service/Telecalling/Backend"
"Sales Executive/ Officer, Telecalling/ Telemarketing/ Telesales - Executive, Other Sales/ Business Development, Fresher",Educational/Training,English,"Client Servicing,Corporate Sales,Direct/Commission Sales,Institutional Sales",Sales/Business Development
"Administration Assistant/ Executive, Computer Operator/ Data Entry Operator, Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Microsoft Office Excel , typing , Word , Excel , data Entry , Data Entry Operator","Administration,Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type","Administration,Operations/Customer Service/Telecalling/Backend"
"Administration Assistant/ Executive, Computer Operator/ Data Entry Operator, Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data entry executive , computer operator","Administration,Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type","Administration,Operations/Customer Service/Telecalling/Backend"
"Administration Assistant/ Executive, Computer Operator/ Data Entry Operator, Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data Entry , data entry operator , computer operator , Work from Home , HR Operations , Computer  , Human Resources Recruiting , Typing Work , Home Based Work","Administration,Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type","Administration,Operations/Customer Service/Telecalling/Backend"
"Administration Assistant/ Executive, Computer Operator/ Data Entry Operator, Customer Care Executive/ Associate - Non Voice/ Web, Data Entry/ DTP/ Data Conversion - Operator","CRM/CallCentres/BPO/ITES/Med.Trans,  IT-Software","Data Entry , Work From Home , Microsoft Excel , Back Office Operations , computer operator , Content Writing , HR Operations , Human Resources Recruiting , Data Entry Operator","Administration,Back-end/Transactions Processing,ITES Operations,Non Voice Process - Both BPO Type","Administration,Operations/Customer Service/Telecalling/Backend"
Sales Executive/ Officer,Retailing,Good communication Skills,"Direct/Commission Sales,FMCG Sales",Sales/Business Development
"Advertising - Account Executive/ Client Servicing Executive, Sales Executive/ Officer, Sales Executive/ Officer, Sales/ Business Development Manager",Advertising/PR/Event Management,"GOOD COMUNICATION , Leadership , Marketing , sales executive , team leader , BUSINESS MANAGER , INTERPERSONAL SKILLS , FRESHER","Corp Communications,Advertising/Media/Arts,Client Servicing,Corporate Sales","Marketing/MR/Media Planning,Sales/Business Development"
Sales/ Business Development Manager,Consulting Services,"Immigration Process , visa consultant , sales , immigration sales executive , immigration counsellor , sales executive",Telesales,Sales/Business Development
